Season,Event,Buyer ID,Resale Date,Seat Block,Qty,Primary Value / Ticket,Resale Value / Ticket,Mail CSZ
Football 2017,Michigan State,966438,10/4/17,"1:11:67:10,7",8,71.67,215,"Chicago, IL  60613"
Football 2017,Michigan State,966439,10/4/17,"1:11:91:3,1",6,125,242.15,"Troy, MI  48085"
Football 2017,Michigan State,966444,10/4/17,"1:40:84:36,35",4,71.67,191.96,"Hudsonville, MI  49426"
Football 2017,Michigan State,966445,10/4/17,"1:39:27:7,6",4,71.67,180,"Ada, MI  49301"
Football 2017,Michigan State,966446,10/4/17,"1:5:76:16,16",2,71.67,195,"Groveport, OH  43125"
Football 2017,Michigan State,966448,10/4/17,"1:15:74:35,34",4,71.67,169.84,"Grosse Pointe, MI  48230"
Football 2017,Michigan State,966449,10/4/17,"1:44:49:4,3",4,64.5,274,"New York, NY  10013"
Football 2017,Michigan State,966451,10/4/17,"1:21:46:12,11",4,71.67,259,"Wise, VA  24293"
Football 2017,Michigan State,966454,10/4/17,"1:13:88:17,17",2,125,205.35,"Garden City, MI  48135"
Football 2017,Michigan State,966455,10/4/17,"1:35:16:6,5",4,64.5,215,"Saint Paul, MN  55113"
Football 2017,Michigan State,966456,10/4/17,"1:1:82:12,11",4,71.67,250,"Grand Rapids, MI  49546"
Football 2017,Michigan State,966459,10/4/17,"1:9:93:32,32",2,125,188.34,"Crawfordsville, IN  47933"
Football 2017,Michigan State,966461,10/4/17,"1:4:26:18,17",4,71.67,215,"Grand Rapids, MI  49525"
Football 2017,Michigan State,966463,10/4/17,"1:10:96:22,22",2,71.67,180,"Edmonds, WA  98020"
Football 2017,Michigan State,966463,10/4/17,"1:11:28:21,21",2,71.67,221,"Edmonds, WA  98020"
Football 2017,Michigan State,966464,10/4/17,"1:4:19:14,13",4,71.67,250,"Bloomfield Hills, MI  48301"
Football 2017,Michigan State,966467,10/4/17,"1:5:59:9,8",4,71.67,197,"New York, NY  10069"
Football 2017,Michigan State,966468,10/4/17,"1:34:37:8,7",4,71.67,220,"Ijamsville, MD  21754"
Football 2017,Michigan State,966469,10/4/17,"1:21:31:24,23",4,71.67,275,"Pompano Beach, FL  33071"
Football 2017,Michigan State,966471,10/4/17,"1:39:91:15,15",2,125,170,"Dayton, OH  45459"
Football 2017,Michigan State,966473,10/4/17,"1:16:24:4,1",8,71.67,215,"Roslyn, NY  11576"
Football 2017,Michigan State,966473,10/7/17,"1:13:62:16,16",2,71.67,184,"Roslyn, NY  11576"
Football 2017,Michigan State,966474,10/4/17,"1:11:48:18,15",8,71.67,239.5,"Birmingham, MI  48009"
Football 2017,Michigan State,966474,10/7/17,"1:21:31:8,7",4,64.5,294,"Birmingham, MI  48009"
Football 2017,Michigan State,966476,10/4/17,"1:7:84:6,5",4,71.67,160,"Gregory, MI  48137"
Football 2017,Michigan State,966477,10/4/17,"1:44:31:6,5",4,71.67,300,"Chestnut Hill, MA 02467"
Football 2017,Michigan State,966480,10/4/17,"1:4:17:2,1",4,71.67,225,"Berkeley, CA  94703"
Football 2017,Michigan State,966481,10/4/17,"1:14:92:25,24",4,125,190,"Tecumseh, MI  49286"
Football 2017,Michigan State,966482,10/4/17,"1:17:27:17,16",4,71.67,200,"South Jordan, UT  84095"
Football 2017,Michigan State,966483,10/4/17,"1:35:11:1,1",2,71.67,250,"New Orleans, LA  70115"
Football 2017,Michigan State,966483,10/4/17,"1:35:11:2,2",2,71.67,250,"New Orleans, LA  70115"
