Season,Event,Buyer ID,Resale Date,Seat Block,Qty,Primary Value / Ticket,Resale Value / Ticket,Mail CSZ
Football 2018,Western Michigan,1006112,9/5/18,"1:15:44:6,5",2,71.71,38,"Bath, MI  48808"
Football 2018,Western Michigan,1010523,7/6/18,"1:42:3:22,21",4,71.71,101,"Cherry Hill, NJ  08002"
Football 2018,Western Michigan,1010537,7/9/18,"1:21:21:2,1",4,71.71,139.99,"Las Vegas, NV  89135"
Football 2018,Western Michigan,1010537,7/9/18,"1:22:21:25,23",6,71.71,122.36,"Las Vegas, NV  89135"
Football 2018,Western Michigan,1010537,7/10/18,"1:42:35:26,23",8,71.71,99,"Las Vegas, NV  89135"
Football 2018,Western Michigan,1010537,7/11/18,"1:20:15:26,25",8,71.71,85,"Las Vegas, NV  89135"
Football 2018,Western Michigan,1010537,7/12/18,"1:1:44:10,8",6,71.71,99.95,"Las Vegas, NV  89135"
Football 2018,Western Michigan,1010537,7/12/18,"1:21:22:16,13",8,71.71,155,"Las Vegas, NV  89135"
Football 2018,Western Michigan,1010537,7/14/18,"1:43:1:18,15",8,75,109,"Las Vegas, NV  89135"
Football 2018,Western Michigan,1010537,7/17/18,"1:18:66:17,17",2,71.71,29.97,"Las Vegas, NV  89135"
Football 2018,Western Michigan,1010545,7/6/18,"1:13:39:20,19",4,71.71,55,"Summerville, SC  29485"
Football 2018,Western Michigan,1010579,7/6/18,"1:35:31:26,25",4,71.71,95,"Houston, TX  77008"
Football 2018,Western Michigan,1010597,7/6/18,"1:44:61:6,5",4,71.71,140,"Summerville, SC  29483"
Football 2018,Western Michigan,1010607,7/6/18,"1:35:15:16,15",4,71.71,84.99,"Battle Creek, MI  49015"
Football 2018,Western Michigan,1010609,7/6/18,"1:35:15:14,13",4,71.71,87.99,"Battle Creek, MI  49017"
Football 2018,Western Michigan,1010622,7/6/18,"1:22:62:8,7",4,71.71,179,"Seattle, WA  98115"
Football 2018,Western Michigan,1010627,7/6/18,"1:16:49:15,14",4,71.71,70,"Waterford, MI  48329"
Football 2018,Western Michigan,1010635,7/6/18,"1:24:31:23,22",4,71.71,194,"Vulcan, MI  49892"
Football 2018,Western Michigan,1010636,7/6/18,"1:24:31:25,24",4,71.71,194,"Pointe Aux Roches, ON  N0R 1N0"
Football 2018,Western Michigan,1010642,7/7/18,"1:11:61:16,13",8,71.71,45,"Brighton, MI  48116"
Football 2018,Western Michigan,1010646,7/7/18,"1:23:48:26,25",4,71.71,188,"Val Therese, ON  P3P 1S6"
Football 2018,Western Michigan,1010652,7/7/18,"1:24:34:18,13",12,71.71,397,"Palm Beach Gardens, FL  33418"
Football 2018,Western Michigan,1010658,7/7/18,"1:4:1:2,1",4,71.71,161.76,"Shelbyville, MI  49344"
Football 2018,Western Michigan,1010735,7/7/18,"1:24:79:28,28",4,71.71,90,"Westminster, MD  21158"
Football 2018,Western Michigan,1010735,7/12/18,"1:24:22:23,22",4,71.71,180,"Westminster, MD  21158"
Football 2018,Western Michigan,1010755,7/7/18,"1:19:33:4,3",4,71.71,106,"Birmingham, AL  35215"
Football 2018,Western Michigan,1010759,7/7/18,"1:19:54:16,15",4,71.71,105,"Orlando, FL  32837"
Football 2018,Western Michigan,1010762,7/7/18,"1:1:1:4,1",8,71.71,154,"Littleton, CO  80121"
Football 2018,Western Michigan,1010766,7/7/18,"1:18:3:28,27",4,71.71,125,"Chillicothe, OH  45601"
Football 2018,Western Michigan,1010767,7/7/18,"1:18:3:30,29",4,71.71,125,"Port Huron, MI  48060"
Football 2018,Western Michigan,1010783,7/7/18,"1:18:28:13,12",4,71.71,69,"De Pere, WI  54115"
Football 2018,Western Michigan,1010796,7/8/18,"1:1:27:21,20",4,71.71,165,"Lutz, FL  33558"
Football 2018,Western Michigan,1010872,7/8/18,"1:22:21:14,13",4,71.71,180,"Fort Wayne, IN  46804"
Football 2018,Western Michigan,1010874,7/8/18,"1:6:64:24,23",4,71.71,87,"Mattawan, MI  49071"
Football 2018,Western Michigan,1010875,7/8/18,"1:6:64:26,25",4,71.71,87,"Bloomfield Hills, MI  48302"
Football 2018,Western Michigan,1010878,7/8/18,"1:37:44:23,22",4,71.71,50.99,"Jackson, MI  49201"
Football 2018,Western Michigan,1010885,7/8/18,"1:43:33:16,15",4,71.71,90,"Macomb, MI  48042"
Football 2018,Western Michigan,1010910,7/8/18,"1:9:50:2,1",4,71.71,69.99,"Kentwood, MI  49512"
Football 2018,Western Michigan,1010911,7/8/18,"1:9:50:4,3",4,71.71,59.99,"Hamburg, NY  14075"
Football 2018,Western Michigan,1010921,7/8/18,"1:24:73:18,17",4,71.71,107.82,"Kendallville, IN  46755"
Football 2018,Western Michigan,1010945,7/8/18,"1:20:69:16,15",4,71.71,79,"Kalamazoo, MI  49009"
Football 2018,Western Michigan,1011023,7/9/18,"1:1:44:4,3",4,71.71,213.73,"Amston, CT  06231"
Football 2018,Western Michigan,1011023,7/9/18,"1:1:44:5,5",2,71.71,216.69,"Amston, CT  06231"
Football 2018,Western Michigan,1011031,7/9/18,"1:20:8:20,17",8,71.71,125,"Ann Arbor, MI  48108"
Football 2018,Western Michigan,1011034,7/9/18,"1:18:15:31,30",4,71.71,112.38,"Arkansas City, KS  67005"
Football 2018,Western Michigan,1011051,7/9/18,"1:37:44:10,7",8,71.71,51,"Ida, MI  48140"
Football 2018,Western Michigan,1011058,7/9/18,"1:3:9:6,5",4,71.71,154,"Kalamazoo, MI  49009"
Football 2018,Western Michigan,1011068,7/9/18,"1:15:46:6,5",4,71.71,66,"Washington, DC  20008"
Football 2018,Western Michigan,1011158,7/10/18,"1:11:60:10,9",4,71.71,52,"Fenton, MI  48430"
Football 2018,Western Michigan,1011186,7/10/18,"1:5:82:20,19",4,71.71,117.6,"Avon, OH  44011"
Football 2018,Western Michigan,1011188,7/10/18,"1:43:33:18,17",4,71.71,90,"Holland, MI  49423"
Football 2018,Western Michigan,1011202,7/10/18,"1:24:41:22,19",8,71.71,150,"Guilford, CT  06437"
Football 2018,Western Michigan,1011257,7/10/18,"1:36:53:18,15",8,71.71,51,"Ida, MI  48140"
Football 2018,Western Michigan,1011302,7/11/18,"1:37:6:10,7",8,71.71,69,"Macomb, MI 48044"
Football 2018,Western Michigan,1011364,7/11/18,"1:20:16:16,13",8,71.71,139,"Echo bay, ON  P0S 1C0"
Football 2018,Western Michigan,1011400,7/11/18,"1:3:6:4,3",4,71.71,99.98,"Bloomfield Hills, MI  48302"
Football 2018,Western Michigan,1011409,7/11/18,"1:3:7:8,7",4,71.71,104.88,"Mendon, MI  49072"
Football 2018,Western Michigan,1011452,7/11/18,"1:38:60:8,7",4,64.57,60,"Minooka, IL  60447"
Football 2018,Western Michigan,1011457,7/11/18,"1:9:43:6,3",8,71.71,59,"Richland, MI  49083"
Football 2018,Western Michigan,1011457,7/17/18,"1:9:40:6,3",8,71.71,88,"Richland, MI  49083"
Football 2018,Western Michigan,1011458,7/11/18,"1:22:37:10,9",4,71.71,215,"Sioux Falls, SD  57104"
Football 2018,Western Michigan,1011461,9/3/18,"1:23:48:8,5",8,71.71,125,"Sumner, MI  48889"
Football 2018,Western Michigan,1011466,7/11/18,"1:22:50:8,7",4,71.71,175,"Wixom, MI  48393"
Football 2018,Western Michigan,1011470,7/11/18,"1:23:53:22,19",8,71.71,275,"Los Angeles, CA  90049"
Football 2018,Western Michigan,1011473,7/11/18,"1:23:55:12,11",4,71.71,250,"Kalamazoo, MI  49001"
Football 2018,Western Michigan,1011499,7/11/18,"1:1:83:16,15",4,71.71,95.61,"Dewitt, MI  48820"
Football 2018,Western Michigan,1011503,7/11/18,"1:1:83:14,13",4,71.71,95.61,"Bay Village, OH  44140"
Football 2018,Western Michigan,1011537,7/11/18,"1:23:49:14,13",4,71.71,245,"Parkland, FL  33076"
Football 2018,Western Michigan,1011542,7/12/18,"1:4:7:6,5",4,71.71,113.5,"Coldwater, MI  49036"
Football 2018,Western Michigan,1011543,7/12/18,"1:40:10:32,30",6,71.71,82.13,"Sterling Heights, MI  48313"
Football 2018,Western Michigan,1011544,7/12/18,"1:20:31:4,2",6,71.71,164.99,"Washington Court House, OH  43160"
Football 2018,Western Michigan,1011545,7/12/18,"1:3:9:26,25",4,71.71,108.99,"San Jose, CA  95125"
Football 2018,Western Michigan,1011546,7/12/18,"1:6:57:9,9",2,71.71,34.99,"Maysville, KY  41056"
Football 2018,Western Michigan,1011547,7/12/18,"1:40:2:11,9",6,71.71,85.01,"Marquette, MI  49855"
Football 2018,Western Michigan,1011641,7/12/18,"1:20:69:2,1",4,71.71,85,"Jackson, MI  49201"
Football 2018,Western Michigan,1011642,7/12/18,"1:44:35:2,1",4,71.71,106,"Dallas, TX  75229"
Football 2018,Western Michigan,1011663,7/12/18,"1:18:70:33,33",2,71.71,33.49,"Ann Arbor, MI  48103"
Football 2018,Western Michigan,1011664,7/12/18,"1:7:83:11,8",8,71.71,46,"Saint Clair Shores, MI  48082"
